EV-2026-08-09-501,"Metro Turkiye rafinda Gold Country California Colombard-Chardonnay 2023 750 ml etiket fiyati 599,90 TL goruldu",599.90,TRY,T4,Metro Turkiye magaza rafi - kullanici fotografi,PHOTO,2026-08-09,2026-08-09,2026-08-09,HIGH,FACT,30d,-,turkiye-pazar-kasifi,-,-,Fotograftan okundu; KDV/katman/promosyon bu kartla KANITLANMAZ
EV-2026-08-09-502,"Metro Turkiye rafinda Central Creek (Avustralya) etiket fiyati 649,90 TL goruldu",649.90,TRY,T4,Metro Turkiye magaza rafi - kullanici fotografi,PHOTO,2026-08-09,2026-08-09,2026-08-09,HIGH,FACT,30d,-,turkiye-pazar-kasifi,-,-,Hacim 750 ml DOGRULANMADI
EV-2026-08-09-503,Metro Turkiye haftalik brosurunde tum fiyatlar 'KDV'li' ibaresiyle yayinlanir,KDV'li,-,T4,Metro Turkiye resmi brosuru 5-11 Agustos 2026,https://www.kataloglar.com.tr/metro/metro-katalog-arambadan-itibaren-05-08-2026-38368/,2026-08-05,2026-08-05,2026-08-09,HIGH,FACT,30d,10-evidence/raw/snapshots/EV-2026-08-09-503-metro-katalog-kdvli-fiyat.png,turkiye-pazar-kasifi,-,-,OQ-001 icin ana kanit; KDV haric ikinci fiyat yok
EV-2026-08-09-504,Metro brosur etiket anatomisi: ustu cizili KDV'li normal fiyat + KDV'li indirimli fiyat + birim fiyat,"499,90 -> 434,90 TL KDV'li",TRY,T4,Metro Turkiye Temizlik-Kisisel Bakim brosuru 01-31.08.2026,https://www.kataloglar.com.tr/metro/metro-temizlik-kiisel-bakm-cumartesinden-itibaren-01-08-2026-38257/,2026-08-01,2026-08-01,2026-08-09,HIGH,FACT,30d,10-evidence/raw/snapshots/EV-2026-08-09-504-metro-temizlik-katalog-01-31-agustos-2026.png,turkiye-pazar-kasifi,-,-,Ikinci sayi KDV haric degil BIRIM FIYATTIR
EV-2026-08-09-505,Metro Turkiye'den herkes alisveris yapabilir; bireysel musteri ucretsiz Metro Kart ile son tuketici olarak alir,Herkes,-,T4,Metro Turkiye SSS,https://www.metro-tr.com/hakkimizda/sss,UNKNOWN,UNKNOWN,2026-08-09,HIGH,FACT,180d,-,turkiye-pazar-kasifi,-,-,Katman sorusu icin belirleyici: Metro fiyati fiilen tuketiciye acik
EV-2026-08-09-506,Perakende satista etiket tum vergiler dahil fiyati gosterir; toptan+perakende birlikte yapilan yerde perakende hukumleri uygulanir,tum vergiler dahil,-,T1,Fiyat Etiketi Yonetmeligi RG 28.06.2014/29044 (ikincil veritabani uzerinden),https://www.lexpera.com.tr/resmi-gazete/metin/fiyat-etiketi-yonetmeligi-29044,2014-06-28,2014-06-28,2026-08-09,MEDIUM,FACT,180d,-,turkiye-pazar-kasifi,-,-,RG/mevzuat.gov.tr 503 verdi; T-501 ile mevzuat-ruhsat-uzmani dogrulayacak
EV-2026-08-09-507,Metro brosur kunyesi: brosur fiyatlari sevkiyat hizmeti alan musterilere uygulanmaz; tipografik hatada magaza fiyati gecerlidir,kunye metni,-,T4,Metro Turkiye brosur kunyesi 05-11.08.2026,https://www.kataloglar.com.tr/metro/metro-katalog-arambadan-itibaren-05-08-2026-38368/,2026-08-05,2026-08-05,2026-08-09,HIGH,FACT,30d,10-evidence/raw/snapshots/EV-2026-08-09-507-metro-brosur-kunye.png,turkiye-pazar-kasifi,-,-,Magaza fiyati != sevkiyat/HoReCa teslimat fiyati
EV-2026-08-09-508,"Metro kampanyalarinda alim hedefi KDV haric, cek KDV dahil; alkol tum kampanyalarin disinda",KDV haric hedef,-,T4,Metro Turkiye kampanya kosullari,https://www.metro-tr.com/sadakat-yeni-musteri-mayis-2026,2026,2026-05-01,2026-08-09,HIGH,FACT,90d,-,turkiye-pazar-kasifi,-,-,Metro'nun muhasebe dili net; etiket dili brut. Alkolde promosyon mekanigi kisitli
EV-2026-08-09-509,iyisarap.plus'ta stokta ithal sarap n=80; min 875 TL; 400-800 TL bandinda stokta ithal SKU YOK,875.00,TRY,T4,iyisarap.plus Shopify urun feed'i,https://iyisarap.plus/collections/ithal-saraplar/products.json,2026-08-10,2026-08-09,2026-08-09,MEDIUM,FACT,30d,-,turkiye-pazar-kasifi,-,C-501,Stokta olmayan 349 listelemede gerceklik disi eski fiyatlar var
EV-2026-08-09-510,iyisarap.plus'ta stokta yerli sarap n=394; min 460 TL; 600-800 TL bandinda 25 SKU,460.00,TRY,T4,iyisarap.plus Shopify urun feed'i,https://iyisarap.plus/products.json,2026-08-10,2026-08-09,2026-08-09,MEDIUM,FACT,30d,-,turkiye-pazar-kasifi,-,C-501,Benchmark bandini bu kanalda yalnizca yerli uretici dolduruyor
EV-2026-08-09-511,Zincir market (Migros/CarrefourSA) online kanalinda sarap raf fiyati gozlemlenemedi,UNKNOWN,TRY,T5,Migros/CarrefourSA web erisim denemeleri,https://www.migros.com.tr/arama?q=sarap,-,-,2026-08-09,LOW,UNKNOWN,30d,-,turkiye-pazar-kasifi,-,-,OQ-001'in 4. dogrulama yolu kapandi; fiziksel magaza gozlemi gerekiyor
EV-2026-08-09-512,"T5 icerik sitelerine gore Metro'da Doluca 75cl 630 TL, Grand Reserve Bogazkere 570 TL, Sarafin 1400 TL",630.00,TRY,T5,akademikpersonel.org / habergazetesi.com.tr / kamupersonel.com.tr,https://akademikpersonel.org/metro-alkol-fiyatlari/,2026-01-15,UNKNOWN,2026-08-09,LOW,UNKNOWN,30d,-,turkiye-pazar-kasifi,-,-,MODELE GIREMEZ; uc site ayni tabloyu tekrarliyor
EV-2026-08-09-513,"Diageo Turkiye ithal sarap markalari: Cielo, Ruffino, Chateau Bel Air",3 marka,adet,T4,Diageo Turkiye resmi sitesi,https://www.diageoturkiye.com/markalarimiz/ithal-ettigimiz-ickiler/ithal-sarap.html,UNKNOWN,UNKNOWN,2026-08-09,MEDIUM,FACT,180d,-,turkiye-pazar-kasifi,-,-,Ithalatci haritasinin sadece bir parcasi
EV-2026-08-09-514,Incelenen tum Metro brosurlerinde (58 sayfa) alkollu icki/sarap fiyati YOK,0,adet,T4,Metro Turkiye kataloglari 2026,https://www.kataloglar.com.tr/metro/,2026-07-08,2026-07-08,2026-08-09,HIGH,FACT,90d,-,turkiye-pazar-kasifi,-,-,Alkolde brosur/online fiyat kesfi yapisal olarak kapali
EV-2026-08-09-515,Turkiye sarap ithalat hacmi ve mensei kirilimi resmi kaynaktan DOGRULANAMADI,UNKNOWN,litre,T2,TADAB Resmi Istatistikler / Ticaret Bakanligi / TUIK,https://www.tarimorman.gov.tr/TADAB/Link/38/Resmi-Istatistikler,-,-,2026-08-09,LOW,UNKNOWN,90d,-,turkiye-pazar-kasifi,-,-,TADAB istatistik sayfasinda yalnizca yakit biyoetanolu var; diger kaynaklar 503
