EV-2026-08-10-451,"Harland Wine Company (AU) private label icin ACIK KATALOG FIYAT KADEMESI yayinliyor; giris seviyesi 2.85+/sise, fiyat FOB olarak tanimlanmis, PARA BIRIMI YAZILI DEGIL",2.85+ (entry) / 5.00+ (mid) / 8.50+ (premium),para birimi BELIRTILMEMIS ($) / sise,T4,Harland Wine Company Pty Ltd - OEM / Private Label sayfasi,https://www.harlandwineco.com.au/private-label,UNKNOWN,UNKNOWN,2026-08-10,MEDIUM,ESTIMATE,90d,-,global-sourcing-kasifi,-,C-461,"quote_class=PUBLIC_INDICATIVE. FIRM_QUOTE DEGILDIR. Para birimi UNKNOWN (AUD/USD farki ~1.5x). Etiket baski maliyeti HARIC. FCL'de FOB (L1), MOQ siparisinde ex factory (L0) - TEK SAYI IKI KATMAN."
EV-2026-08-10-452,Harland Wine Company MOQ 6.000 sise/sarap; odeme %50 pesin + %50 siseleme sonrasi; 4-5 hafta uretim + 1 hafta paketleme; 14.112 sise / 20ft slipsheet,MOQ 6000 sise; 14112 sise/20ft; %50 pesin; 4-5 hafta + 1 hafta,sise / hafta / %,T4,Harland Wine Company Pty Ltd - OEM / Private Label sayfasi,https://www.harlandwineco.com.au/private-label,UNKNOWN,UNKNOWN,2026-08-10,MEDIUM,FACT,90d,-,global-sourcing-kasifi,-,C-462,"Site beyani, teklif degil. Odeme TAMAMEN sevkiyat oncesi -> tedarikci vadesi 0, peak_cash buyur (T-463). 14.112 rakami PALETSIZ yukleme - T-461."
EV-2026-08-10-453,"Cantina Danese s.r.l. (Verona, IT) private label MOQ'sunu referans/SKU basina 6.000 sise olarak ilan ediyor; sise, kapak, etiket ve karton ozellestirmesi sunuyor",6000,sise (referans/SKU basina),T4,Cantina Danese s.r.l. Unipersonale - Private Label sayfasi,https://www.cantinadanese.com/private-label,UNKNOWN,UNKNOWN,2026-08-10,MEDIUM,FACT,90d,-,global-sourcing-kasifi,-,C-462,Fiyat sitede YOK. international@cantinadanese.com / +39 045 746 0060. Gumruk antreposu isletiyor. Ithalat lisansi ALICIDA beyani.
EV-2026-08-10-454,"Zidela Worldwide Wines (Stellenbosch, ZA) 2003'ten beri private label odakli negociant/ihracatci; ayda 2 m sise kapasite ve 14 ulke beyani",2.000.000 sise/ay; 14 ulke; kurulus 2001,sise/ay; ulke,T4,"Vine to Wine - Wine Directory, Zidela Worldwide Wines profili",https://www.vinetowine.co.za/wine-directory/zidela-worldwide-wines,UNKNOWN,UNKNOWN,2026-08-10,LOW,FACT,90d,-,global-sourcing-kasifi,-,-,"DIKKAT: kaynak ureticinin KENDI sitesi degil, sektor dizini. zidelawines.co.za yas dogrulama duvarinin arkasinda okunamadi. Kendini 'value for money private label' diye konumlandiriyor."
EV-2026-08-10-455,"Clark Estate (Marlborough, NZ) musteri markali siseleme icin MOQ'yu cesit ve hasat yili basina 3.000 sise olarak ilan ediyor",3000,sise (cesit ve hasat yili basina),T4,Clark Estate - Private Labels sayfasi,https://www.clarkestate.com/private-labels/,UNKNOWN,UNKNOWN,2026-08-10,MEDIUM,FACT,90d,-,global-sourcing-kasifi,-,C-462,ULKE CHARTER LISTESINDE DEGIL (NZ). MOQ REFERANS NOKTASI olarak kaydedildi; f/p segment uyumu SUPHELI ve IDDIA EDILMEDI. info@clarkestate.com
EV-2026-08-10-456,"Vidigal Wines S.A. (PT) uretiminin ~%90'ini ihrac ediyor, 30+ ulkede satiyor, yilda 3 m+ sise uretiyor; amiral marka Porta 6",%90 ihracat; 30+ ulke; 3.000.000+ sise/yil,% / ulke / sise,T4,Wine Paris katilimci profili + IWSC sirket profili (Vidigal Wines S.A.),https://wineparis.com/newfront/exhibitor/vidigal-wines-sa,UNKNOWN,UNKNOWN,2026-08-10,LOW,FACT,180d,-,global-sourcing-kasifi,-,-,"MODEL A adayi. vidigalwines.com -> porta6.com 301 yonlendirme, yas duvari arkasinda. Turkiye'de ithalatcisi var mi UNKNOWN (T-464). Beyaz portfoy UNKNOWN."
EV-2026-08-10-457,"Parras Wines (Alcobaca, PT) 26 m EUR+ ciro, %50 ihracat; grup icinde kendi siseleme tesisi (Goanvi Bottling) var",26.000.000+ EUR ciro; %50 ihracat,EUR / %,T4,Wine Business + Sommelier's Choice Awards roportaji + Parras kurumsal profilleri,https://www.winebusiness.com/news/article/241394,2020,UNKNOWN,2026-08-10,LOW,FACT,180d,-,global-sourcing-kasifi,-,-,"MODEL A + potansiyel MODEL B. Ciro 2020 haberinden, GUNCEL DEGIL. Private label ACIKCA ILAN EDILMEMIS -> private_label_capable UNKNOWN (YES DEGIL). Ayri dokme kolu parrasbulk.wine (kapsam disi)."
EV-2026-08-10-458,Felix Solis Avantis (ES) 115+ ulkede bulunuyor; amiral marka Vina Albali kurumsal sitede 'gida perakende kanalinin en cok satan Ispanyol sarap markasi' olarak tanimlaniyor,115+ ulke; kurulus 1952,ulke,T4,Felix Solis Avantis kurumsal sitesi (en),https://www.felixsolis.com/en/,UNKNOWN,UNKNOWN,2026-08-10,MEDIUM,FACT,180d,-,global-sourcing-kasifi,-,-,MODEL A adayi (chain retail icin tasarlanmis f/p markalar). Private label sitede ANILMIYOR -> UNKNOWN. 115 ulkede bulunan markanin Turkiye'de bos olma ihtimali DUSUK - adayligi ZAYIFLATAN gozlem (T-464).
EV-2026-08-10-459,"Plaimont (Saint-Mont, FR) Gaskonya kooperatifi; Cotes de Gascogne IGP dahil 5 apelasyon; Colombelle markasi bu apelasyonun amiral markasi",5 apelasyon; kurulus 1979,apelasyon,T4,Plaimont kurumsal sitesi (en) + Cotes de Gascogne bolge kaynaklari,https://www.plaimont.com/en,UNKNOWN,UNKNOWN,2026-08-10,MEDIUM,FACT,180d,-,global-sourcing-kasifi,-,-,URUN TANIMIYLA DOGRUDAN ESLESME: Colombard-Chardonnay tarzinin yapisal kaynagi. ANCAK Fransa L2 CIF 6.27 USD/l - segment USTU; Gascogne'un bunun altinda oldugu DOGRULANMADI. Private label UNKNOWN.
EV-2026-08-10-460,"Spanish Origin (Valencia, ES) kendini Ispanya'dan sarap ihrac eden B2B firmasi olarak tanimliyor; dokme, alkolsuz, organik ve PRIVATE LABEL sarap sundugunu ilan ediyor",private label + bulk + organik + alkolsuz,-,T4,Spanish Origin kurumsal sitesi,https://www.spanishorigin.es/,UNKNOWN,UNKNOWN,2026-08-10,LOW,FACT,90d,-,global-sourcing-kasifi,-,-,"URETICI MI ARACI MI UNKNOWN ('exporter' diyor, 'bodega' demiyor) - ek marj katmani riski. MOQ ve fiyat sitede YOK. info@spanishorigin.es"
EV-2026-08-10-461,"Bodegas San Valero (Carinena, ES) 1944 kooperatifi; satislarinin %70'i ihracat, 40+ ulke; ihracat muduru sektorel yayinda perakendecilere private label sunduklarini beyan etmis",40+ ulke; %70 ihracat; 2.500.000 koli/yil,ulke / % / koli,T4,SevenFifty Daily - Private-Label Wines makalesi (San Valero ihracat muduru beyani) + Vino-Sphere profili,https://daily.sevenfifty.com/private-label-wines-a-peek-behind-the-label/,UNKNOWN,UNKNOWN,2026-08-10,LOW,FACT,180d,-,global-sourcing-kasifi,-,-,"MODEL A + MODEL B IKILI ADAY - iki modelin fiyat farki AYNI maliyet tabaninda olculebilir. Private label beyani UCUNCU TARAF yayindan, firma sitesinden DEGIL -> RFQ 4.1 ile teyit sart."
EV-2026-08-10-462,"Purcari Wineries Group Moldova'dan siselenmis sarabin en buyuk ihracatcisi oldugunu beyan ediyor; BVB'de WINE koduyla islem goruyor; MD/RO/BG'de 7 tesis, 1450+ ha bag","437,2 m RON gelir (2025); 1450+ ha; 7 tesis",RON / ha / tesis,T4,Purcari Wineries Group kurumsal sitesi (yatirimci bilgileri dahil),https://purcariwineries.com/en/,UNKNOWN,2025,2026-08-10,MEDIUM,FACT,180d,-,global-sourcing-kasifi,-,-,"MODEL A adayi. Moldova Turkiye'ye en dusuk L2 CIF menseidir (2.46 USD/l, EV-2026-08-09-405). ANCAK grup kendini 'most premium' diye konumlandiriyor - segmentimizle TERS sinyal. Halka acik = en seffaf tedarikci. purcari@purcari.wine"
EV-2026-08-10-463,"O'Neill Vintners & Distillers (CA, ABD) kurumsal sitesinde musterilerine ozel markalar urettigini beyan ediyor",private label / exclusive brands = VAR,-,T4,O'Neill Vintners & Distillers kurumsal sitesi,https://oneillwine.com/,UNKNOWN,UNKNOWN,2026-08-10,MEDIUM,FACT,90d,-,global-sourcing-kasifi,-,-,"Kaliforniya'da SUP-410 disinda 2. dogrulanmis PL saglayicisi. Ana tesis Parlier/Central Valley - C-403'un 'Central Valley' ayagini DOLAYLI destekler, COZMEZ. IHRACAT kabiliyeti DOGRULANMADI; ABD-TR hatti fiilen yok (18.298 l/2025, C-402)."
EV-2026-08-10-464,"Corta Hojas (Curico, CL) private label beyaz portfoyunde Sauvignon Blanc ve Chardonnay sunuyor; MOQ, fiyat, Incoterm ve lead time sitede 2026-08-10 itibariyla HALA YOK","beyaz: Sauvignon Blanc, Chardonnay; MOQ = UNKNOWN",-,T4,Corta Hojas Export Wine - Private Labels Wines sayfasi,https://www.cortahojas.com/private-labels-wines.php,UNKNOWN,UNKNOWN,2026-08-10,MEDIUM,FACT,90d,-,global-sourcing-kasifi,-,-,"NEGATIF BULGU: 'bakilmadi' ile 'bakildi, yok' ayni sey degil. EV-2026-08-09-416'yi SUPERSEDE ETMEZ, urun detayi ekler. Beyaz cesitler urun tanimiyla ESLESIYOR. Turkiye ihracat bolgeleri arasinda ANILMIYOR."
