"EV-2026-08-10-301","Flexport yayinlanmis LCL kotasyonu: Valencia (ESVLC) -> Istanbul (TRIST), 5 CBM / 750 kg, base ocean freight","616-666","USD / 5 CBM sevkiyat","T4","Flexport Rate Explorer (public quote page)","https://www.flexport.com/rates/esvlc/trist","2026-08-10","2026-08-10","2026-08-10","MEDIUM","FACT","6d","-","navlun-lojistik-uzmani","-","-","GECERLILIK: 2026-08-16. INCLUDED: base ocean freight (LCL, port-to-port). EXCLUDED: varis local charges, CFS destination, ordino, gumrukleme, ic nakliye, sigorta, vergi. Transit tahmini 4 gun. Ayni sayfada Ocean FCL '0 offerings' -> FCL bu lane'de kotasyonlanmiyor. Birim: 123,2-133,2 USD/CBM."
"EV-2026-08-10-302","Flexport yayinlanmis LCL kotasyonu: Barcelona (ESBCN) -> Istanbul (TRIST), iki ayri teklif","616-666 (teklif 1) / 809-859 (teklif 2)","USD / 5 CBM sevkiyat","T4","Flexport Rate Explorer (public quote page)","https://www.flexport.com/rates/esbcn/trist","2026-08-10","2026-08-10","2026-08-10","MEDIUM","FACT","6d","-","navlun-lojistik-uzmani","-","-","GECERLILIK: 2026-08-16. INCLUDED: base ocean freight. EXCLUDED: tum local charge'lar. Transit 4 gun. FCL 0 offerings. Ayni port pair'de iki teklif arasi %31 fark var -> tek kotasyona guvenmemek gerektiginin kaniti."
"EV-2026-08-10-303","Flexport yayinlanmis LCL kotasyonu: Lizbon (PTLIS) -> Istanbul (TRIST) via Barcelona","949-999","USD / 5 CBM sevkiyat","T4","Flexport Rate Explorer (public quote page)","https://www.flexport.com/rates/ptlis/trist","2026-08-10","2026-08-10","2026-08-10","MEDIUM","FACT","6d","-","navlun-lojistik-uzmani","-","-","GECERLILIK: 2026-08-16. Routing PTLIS->ESBCN->TRIST. Sayfa transit ~4 gun diyor; aktarmali routing icin bu IC TUTARSIZ gorunuyor -> transit degeri LOW confidence, fiyat MEDIUM. EXCLUDED: tum local charge'lar. Birim 189,8-199,8 USD/CBM."
"EV-2026-08-10-304","Italya cikisli hicbir limanda (Genova, La Spezia, Livorno, Napoli) Istanbul'a Flexport kotasyonu YOK","0 offerings (FCL ve LCL)","-","T4","Flexport Rate Explorer (public quote page)","https://www.flexport.com/rates/itgoa/trist","2026-08-10","2026-08-10","2026-08-10","MEDIUM","UNKNOWN","14d","-","navlun-lojistik-uzmani","-","-","Dort ayri Italyan limani denendi: ITGOA, ITSPE, ITLIV, ITNAP -> hepsinde FCL 0 / LCL 0. Italya oncelikli rota olmasina ragmen NAVLUNU UNKNOWN kaliyor. Yoklugun kaniti degildir: Flexport'un bu lane'i kotasyonlamamasi navlunun olmadigi anlamina gelmez. -> T-312"
"EV-2026-08-10-305","Flexport yayinlanmis LCL kotasyonu: Marsilya (FRMRS) -> Istanbul (TRIST)","1.428-1.478 (15 gun, via DEHAM) / 1.465-1.515 (12 gun, via BEANR)","USD / 5 CBM sevkiyat","T4","Flexport Rate Explorer (public quote page)","https://www.flexport.com/rates/frmrs/trist","2026-08-10","2026-08-10","2026-08-10","MEDIUM","FACT","6d","-","navlun-lojistik-uzmani","-","-","GECERLILIK: 2026-08-16. KRITIK BULGU: Akdeniz limani olmasina ragmen routing KUZEY AVRUPA uzerinden (Hamburg/Antwerp), transit 12-15 gun ve fiyat Ispanya'nin ~2,3 kati. Fransa LCL'de Akdeniz avantajini KULLANMIYOR. FCL 0 offerings."
"EV-2026-08-10-306","Flexport yayinlanmis LCL kotasyonu: San Antonio/Valparaiso (CLSAI, Sili) -> Istanbul (TRIST)","970-1.020 (43 gun, via ESBCN) / 1.337-1.387 (49 gun, via DEHAM)","USD / 5 CBM sevkiyat","T4","Flexport Rate Explorer (public quote page)","https://www.flexport.com/rates/clsai/trist","2026-08-10","2026-08-10","2026-08-10","MEDIUM","FACT","6d","-","navlun-lojistik-uzmani","-","-","GECERLILIK: 2026-08-16. TUR 1'de bu rota tamamen UNKNOWN'di. Barcelona aktarmali secenek hem daha ucuz hem daha hizli. Sise basina navlun Portekiz ile ayni mertebede (0,43-0,45 USD) AMA transit 43-49 gun -> sicaklik ve isletme sermayesi riski bambaska. EXCLUDED: tum local charge'lar."
"EV-2026-08-10-307","Flexport yayinlanmis LCL kotasyonu: Cape Town (ZACPT) -> Istanbul (TRIST)","1.720-1.770","USD / 5 CBM sevkiyat","T4","Flexport Rate Explorer (public quote page)","https://www.flexport.com/rates/zacpt/trist","2026-08-10","2026-08-10","2026-08-10","MEDIUM","FACT","6d","-","navlun-lojistik-uzmani","-","-","GECERLILIK: 2026-08-16. Transit 49 gun, routing Hamburg aktarmali. Test edilen 11 rota icinde sise basi EN PAHALI (0,77-0,79 USD). TUR 1'deki '~26 gun' tahmini TERS YON olcumuydu; bu kanit ithalat yonunun 49 gun oldugunu gosteriyor -> TUR 1 tahmini ~2 kat iyimserdi."
"EV-2026-08-10-308","Flexport yayinlanmis LCL kotasyonu: Oakland (USOAK, California) -> Istanbul (TRIST)","1.239-1.289","USD / 5 CBM sevkiyat","T4","Flexport Rate Explorer (public quote page)","https://www.flexport.com/rates/usoak/trist","2026-08-10","2026-08-10","2026-08-10","MEDIUM","FACT","6d","-","navlun-lojistik-uzmani","-","-","GECERLILIK: 2026-08-16. TUR 1'de CRITICAL UNKNOWN olarak isaretlenen benchmark urun rotasi. Transit 20 gun. Routing: Oakland -> Atlanta (kara/demiryolu) -> Kumport -> Istanbul. Yani California cikisli yuk ABD ici karadan Dogu Yakasi'na tasiniyor, oradan gemiyle geliyor."
"EV-2026-08-10-309","Flexport yayinlanmis LCL kotasyonu: Los Angeles (USLAX) -> Istanbul (TRIST)","1.133-1.183 (20 gun, via Atlanta/Kumport) / 1.270-1.320 (44 gun, via Savannah)","USD / 5 CBM sevkiyat","T4","Flexport Rate Explorer (public quote page)","https://www.flexport.com/rates/uslax/trist","2026-08-10","2026-08-10","2026-08-10","MEDIUM","FACT","6d","-","navlun-lojistik-uzmani","-","-","GECERLILIK: 2026-08-16. Oakland ile birlikte C-302'nin 'LA->Istanbul 15 gun' iddiasini degerlendirmeyi mumkun kiliyor: gercek 20 gun (kara aktarmali) veya 44 gun (deniz aktarmali). 15 gun hicbir sekilde dogrulanmadi."
"EV-2026-08-10-310","Flexport yayinlanmis LCL kotasyonu: Buenos Aires (ARBUE, Arjantin) -> Istanbul (TRIST)","1.150-1.200","USD / 5 CBM sevkiyat","T4","Flexport Rate Explorer (public quote page)","https://www.flexport.com/rates/arbue/trist","2026-08-10","2026-08-10","2026-08-10","MEDIUM","FACT","6d","-","navlun-lojistik-uzmani","-","-","GECERLILIK: 2026-08-16. Transit 25 gun, Hamburg aktarmali. Arjantin, Sili'den PAHALI ama daha HIZLI."
