EV-2026-08-10-551,"iyisarap.plus/.pro 10.08.2026: stokta ithal n=80, min 875 TL; 500-1000 TL bandinda stokta 2 ithal SKU (875 / 948); 0-800 TL'de 0",875.00,TRY,T4,iyisarap.plus + iyisarap.pro Shopify urun feed'i,https://iyisarap.plus/collections/ithal-saraplar/products.json,UNKNOWN,2026-08-10,2026-08-10,MEDIUM,FACT,30d,10-evidence/raw/snapshots/tur2-pazar/iyisarap-katalog-2026-08-10.json,turkiye-pazar-kasifi,-,C-501,TUR 1 bulgusunun IKINCI TARIHLI tekrari - SUPERSEDE ETMEZ DOGRULAR. Iki SKU YENI DEGIL. Online fiyat; magaza rafi degil. TEK KANAL
EV-2026-08-10-552,"Ayni kanalda 500-1000 TL bandinda 62 ithal listeleme VAR ama tamami stokta DEGIL; bant assortmanda dolu stokta bos",62,adet,T4,iyisarap.plus Shopify urun feed'i,https://iyisarap.plus/collections/ithal-saraplar/products.json,UNKNOWN,2026-08-10,2026-08-10,LOW,UNKNOWN,30d,10-evidence/raw/snapshots/tur2-pazar/iyisarap-katalog-2026-08-10.json,turkiye-pazar-kasifi,-,C-561,RAF FIYATI DEGILDIR - MODELE GIREMEZ. Stokta olmayan havuz iki modlu: 44 kayit <500 TL (gerceklik disi) + 62 kayit 500-1000 TL (makul) -> C-501 nitelenmeli (T-561)
EV-2026-08-10-553,"global-sourcing TUR 1 kisa listesindeki 11 tedarikci ve 15 markanin HICBIRI 1304 listeleme / 274 vendor'luk Turk uzman perakende katalogunda YOK",0,adet,T4,iyisarap.plus tum katalog products.json,https://iyisarap.plus/products.json,UNKNOWN,2026-08-10,2026-08-10,MEDIUM,FACT,30d,10-evidence/raw/snapshots/tur2-pazar/iyisarap-katalog-2026-08-10.json,turkiye-pazar-kasifi,-,-,"'Bu katalogda yok' != 'Turkiye'de yok'. Sonuc BULUNAMADI (UNKNOWN presence) olarak okunur. Tek yalanci pozitif Tormentoso -> EV-2026-08-10-561"
EV-2026-08-10-554,"Kavaklidere Saraplari kendi sitesinde 9 ulkeden ithal sarap portfoyunu ilan ediyor - Turkiye'de yerli uretici ayni zamanda buyuk ithal distributor",30,adet marka,T4,Kavaklidere Saraplari A.S. resmi sitesi Ithal Urunler,https://kavaklidere.com/ithal-urunler/,UNKNOWN,2026-08-10,2026-08-10,HIGH,FACT,180d,10-evidence/raw/snapshots/tur2-pazar/kavaklidere-ithal-urunler-2026-08-10.html,turkiye-pazar-kasifi,-,-,Portfoyde Gato Negro / Santa Helena / Baron de Lestac / Moncigale gibi giris-orta segment ithal markalar VAR -> hedef bandimizda guclu rakip-dagitici. Ayrica EV-557 yonteminin dogrulamasi (26 KVKLDR vendor'unun 23'u birebir)
EV-2026-08-10-555,"Marchesi Antinori resmi dagitim sayfasi Turkiye distributoru olarak KARAGOZOGLU DIS TICARET AS'yi gosteriyor",1,adet,T4,Marchesi Antinori S.p.A. Distribution in Asia,https://www.antinori.it/en/distribution/distribution-in-asia/,UNKNOWN,2026-08-10,2026-08-10,HIGH,FACT,180d,10-evidence/raw/snapshots/tur2-pazar/antinori-distribution-asia-2026-08-10.html,turkiye-pazar-kasifi,-,-,Uretici tarafindan ilan edilmis distributor kaydi. KDT ic etiketinin acilimini dogrular. Ayni etiketli diger 19 vendor DOLAYLI (ESTIMATE)
EV-2026-08-10-556,"ADCO (Adco Gida / Kemer Gida) kendi sitesinde 35 yildir alkollu icecek ithalatcisi ve distributoru oldugunu beyan ediyor",35,yil,T4,Adco Fine Wines resmi sitesi,https://www.adcogida.com.tr/,UNKNOWN,2026-08-10,2026-08-10,HIGH,FACT,180d,10-evidence/raw/snapshots/tur2-pazar/adcogida-anasayfa-2026-08-10.html,turkiye-pazar-kasifi,-,-,Ithalatci kimligi FACT; PORTFOY icerigi UNKNOWN (/ureticiler/ sayfasi JS ile yukleniyor). 22 vendor eslesmesi ESTIMATE
EV-2026-08-10-557,"Perakendeci urun feed'indeki ic etiketler ~200 ithal markayi 17 tedarikci grubuna bagliyor; 4 kod bagimsiz kaynakla dogrulandi 13 kod UNKNOWN",17,adet kod,T4,iyisarap.plus feed tags + kavaklidere.com + antinori.it + adcogida.com.tr,https://iyisarap.plus/products.json,UNKNOWN,2026-08-10,2026-08-10,MEDIUM,ESTIMATE,90d,10-evidence/raw/snapshots/tur2-pazar/iyisarap-katalog-2026-08-10.json,turkiye-pazar-kasifi,-,-,"Etiket = bu perakendecinin tedarik kaynagi; markanin Turkiye'deki TEK ithalatcisi oldugunu KANITLAMAZ. OQ-551"
EV-2026-08-10-558,"SOK Marketler online katalogunda 'sarap' aramasi 0 urun donduruyor",0,adet,T4,sokmarket.com.tr arama sonuc sayfasi,https://www.sokmarket.com.tr/arama?q=%C5%9Farap,-,2026-08-10,2026-08-10,HIGH,FACT,90d,-,turkiye-pazar-kasifi,-,-,"Online yokluk MAGAZA rafinda yokluk DEGILDIR (alkol online satilamiyor). bim_a101_sok_sarap_var_mi UNKNOWN kalir"
EV-2026-08-10-559,"TUR 2'de iyisarap disinda 8 kanal denendi; hicbirinden 2026 tarihli dogrulanabilir ithal sarap fiyati alinamadi",8,adet kanal,T4,Coklu kanal erisim denemesi (curl + WebFetch),MULTIPLE,-,2026-08-10,2026-08-10,HIGH,FACT,30d,-,turkiye-pazar-kasifi,-,-,"A101/CarrefourSA/Macrocenter 403; SOK 0 sonuc; WineGarage tanitim sitesi; Mahzen26 fiyat yok; WineAnatolia kapali; marketkarsilastir alkolde guncel takip yok. Pazarin yapisi, arama basarisizligi degil"
EV-2026-08-10-560,"Fiyat karsilastirma arsivi Metro'nun 2022-2023'te J.P. Chenet beyaz sarap sattigini ve fiyat seyrini gosteriyor",262.90,TRY,T4,marketkarsilastir.com urun fiyat gecmisi,https://marketkarsilastir.com/fiyat/3263286346683-jp-chenet-beyaz-sarap,UNKNOWN,2023-01-22,2026-08-10,LOW,UNKNOWN,0d,-,turkiye-pazar-kasifi,-,-,"TTL=0d - ZATEN ESKI, MODELE GIREMEZ. Degeri yapisal: Metro ithal giris-segment Fransiz markasi satiyor. Hacim ve KDV durumu UNKNOWN"
EV-2026-08-10-561,"Turkiye katalogundaki Guney Afrika markasi Tormentoso MAN Vintners'a aittir; Origin Wine (SUP-407) ile ilgisi yoktur",-,-,T5,wine.co.za haber arsivi + kavaklidere.com capraz,https://news.wine.co.za/news.aspx?NEWSID=16581,UNKNOWN,2026-08-10,2026-08-10,MEDIUM,ESTIMATE,180d,-,turkiye-pazar-kasifi,-,-,"ELEME KANITI: katalog taramasindaki tek eslesmenin yalanci pozitif oldugunu gosterir"
EV-2026-08-10-562,"J.P. Chenet'nin Turkiye ithalatcisinin Baron Sarapcilik oldugu ve firmanin ~150 cesit sarap ithal ettigi one suruluyor",150,adet cesit,T5,sommgastro.com blog + tumblr + LEI kaydi,https://www.sommgastro.com/sarap/jp-chenet-fransiz-sarap,UNKNOWN,UNKNOWN,2026-08-10,MEDIUM,ESTIMATE,180d,-,turkiye-pazar-kasifi,-,-,"T5 - tek basina FACT sayilmaz. Ic tutarlilik: BRN kodunda hem J.P. Chenet hem Louis Jadot var. Celiski izi: interaytrading.com da J.P. Chenet sayfasi tutuyor -> OQ-551"
